,id,member_id,loan_amnt,funded_amnt,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,mths_since_last_major_derog,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,loan_is_bad
7776,2837478,3420019,14000,14000,459.28,B,B2,bayada home health,1.0,MORTGAGE,55000.0,debt_consolidation,Debt consolidation,275xx,NC,12.96,0,Feb-91,2,,,16,0,24107,72.60%,23,w,0,,INDIVIDUAL,0,0.0,137964.0,True
737,3146664,3858964,15000,15000,536.81,C,C5,New Vanderbilt Nursing home ,1.0,RENT,60000.0,debt_consolidation,Debt consolidation,112xx,NY,18.96,0,Mar-99,0,,,11,0,20683,76.90%,35,f,0,,INDIVIDUAL,0,0.0,80598.0,True
47811,1310064,1555434,8400,8400,294.54,C,C4,Servicelink,1.0,RENT,38400.0,wedding,My DIY Wedding,926xx,CA,19.64,0,01-Dec,1,,,11,0,12586,58.10%,14,f,0,,INDIVIDUAL,0,,,True
5920,3104822,3777009,9750,9750,351.37,D,D1,Re Defining Moments,10.0,RENT,58000.0,debt_consolidation,Debt consolidation,313xx,GA,9.17,0,Feb-95,2,,,10,0,2400,66.70%,20,f,0,,INDIVIDUAL,0,0.0,16810.0,True
12228,2309326,2741828,35000,35000,908.89,D,D4,Murtis Taylor,2.0,MORTGAGE,85000.0,home_improvement,My Home,441xx,OH,25.78,0,Sep-78,2,78.0,,22,0,6555,47.20%,35,w,0,,INDIVIDUAL,0,0.0,172878.0,True
11259,2382867,2845621,35000,35000,1201.84,C,C1,University of MN Amplatz Childrens Hospi,8.0,MORTGAGE,120000.0,credit_card,Credit Card Consolidation,551xx,MN,19.95,0,May-98,0,24.0,,19,0,34916,75.10%,51,w,0,,INDIVIDUAL,0,0.0,248353.0,True
45824,1341259,1585820,20000,20000,748.38,E,E2,Schewel Furniture,10.0,MORTGAGE,53000.0,debt_consolidation,pay off debts,247xx,WV,25.65,0,May-00,1,,,13,0,18016,87.90%,28,f,0,,INDIVIDUAL,0,,,True
42159,1393831,1640791,8000,8000,291.19,D,D2,The David j Joseph Company,6.0,OWN,92000.0,home_improvement,Home improvement,452xx,OH,6.76,0,Jul-97,2,27.0,,10,0,6569,77.30%,19,f,0,,INDIVIDUAL,0,,,True
8637,2838245,3420839,9600,9600,336.57,C,C3,Davidson Legal Staffing,2.0,RENT,60000.0,credit_card,debt consolidation,921xx,VA,30.7,0,Nov-99,2,28.0,,9,0,7946,69.10%,27,f,0,29.0,INDIVIDUAL,0,0.0,210711.0,True
40726,1410828,1660464,8000,8000,278.54,C,C2,Kono Asian grill,4.0,RENT,33000.0,debt_consolidation,Wanna get out of debt,295xx,SC,19.2,0,Dec-63,1,37.0,,6,0,4595,48.90%,15,f,0,,INDIVIDUAL,0,,,True
43700,1351824,1595981,11300,11300,386.16,C,C1,State of Michigan,10.0,MORTGAGE,60000.0,credit_card,Credit Card Refinance,481xx,MI,30.16,0,Mar-89,1,,,7,0,32931,83.80%,23,f,0,,INDIVIDUAL,0,,,True
2349,3198200,3931137,6000,6000,219.18,D,D3,county of san diego,10.0,RENT,34000.0,other,newlife,919xx,CA,26.96,0,Dec-93,0,,,10,0,8351,87%,18,f,0,,INDIVIDUAL,0,0.0,16360.0,True
47124,1321568,1566519,14500,14500,453.71,A,A4,Cobalt/ADP,4.0,MORTGAGE,75000.0,debt_consolidation,Consolidation Loan,982xx,WA,15.08,0,Nov-94,0,,,17,0,19667,33.70%,36,f,0,,INDIVIDUAL,0,,,True
42273,1391493,1638566,16850,16850,443.81,D,D5,Saint Joseph's Health System,1.0,RENT,65000.0,debt_consolidation,Debt Payoff,955xx,CA,21.97,0,Jul-00,2,,,12,0,12179,52.80%,27,f,0,,INDIVIDUAL,0,,,True
31094,1522295,1786331,5875,5875,201.74,C,C1,"DF Grafix, Inc.",7.0,RENT,21500.0,debt_consolidation,Debt consolidation,921xx,CA,18.31,0,Sep-97,0,78.0,,9,0,11864,72.30%,17,f,0,79.0,INDIVIDUAL,0,0.0,11864.0,True
47655,1312466,1556739,2900,2900,99.11,C,C1,"Apple NE, LLC",10.0,RENT,80000.0,debt_consolidation,Loanfix,033xx,NH,5.85,0,May-99,0,45.0,,4,0,711,79%,9,f,0,,INDIVIDUAL,0,,,True
1973,3215837,3958103,20950,20950,719.39,C,C1,Pasadena City College,10.0,MORTGAGE,61200.0,debt_consolidation,Loan Consolidation,911xx,CA,15.82,2,Jan-95,0,21.0,,10,0,14139,93.60%,32,w,0,50.0,INDIVIDUAL,0,0.0,75315.0,True
8795,2827626,3410213,15000,15000,492.08,B,B2,CRACKER BARREL,6.0,MORTGAGE,155000.0,home_improvement,home,347xx,FL,13.63,0,Mar-98,2,,32.0,12,2,14611,77.70%,36,f,0,,INDIVIDUAL,0,0.0,398399.0,True
32986,1498326,1758996,13000,13000,333.59,D,D2,North Texas ITS Medical Center Arlington,10.0,MORTGAGE,58000.0,debt_consolidation,Debt consolidation,761xx,TX,20.42,0,May-86,3,,,16,0,17278,40.30%,28,f,0,,INDIVIDUAL,0,0.0,86257.0,True
5113,3108766,3781360,16000,16000,391.56,C,C4,Total Renal Care,2.0,RENT,62000.0,debt_consolidation,Consolidation ,914xx,CA,23.75,0,07-Oct,0,,,9,0,11299,54.60%,17,f,0,,INDIVIDUAL,0,0.0,56838.0,True
38647,1434464,1685924,14400,14400,479.12,B,B3,Ford Credit,5.0,RENT,100000.0,debt_consolidation,Debt consolidation,335xx,FL,6.96,0,May-89,0,,,15,0,17123,48.20%,23,f,0,,INDIVIDUAL,0,,,True
46603,1331974,1576998,35000,35000,982.25,F,F2,The Ohio State University Medical Center,10.0,MORTGAGE,95000.0,debt_consolidation,My Consolidation,432xx,OH,18.3,0,May-98,3,,,16,0,31815,71.50%,31,f,0,,INDIVIDUAL,0,,,True
7103,3014859,3627051,28000,28000,727.11,D,D4,Mesa Public Schools,10.0,RENT,79000.0,debt_consolidation,Debt Consolidation,852xx,AZ,25.73,0,Mar-93,0,25.0,,17,0,29161,62.20%,29,f,0,,INDIVIDUAL,0,0.0,193401.0,True
9069,2836438,3418891,18000,18000,571.56,A,A5,Englobal,1.0,MORTGAGE,100000.0,debt_consolidation,Credit Card Pay Off,707xx,LA,22.32,0,02-Jan,1,28.0,,10,0,13065,62.80%,41,f,0,,INDIVIDUAL,0,0.0,254533.0,True
23829,1608305,1879873,20000,20000,466.3,B,B5,XCEL energy,10.0,MORTGAGE,80000.0,credit_card,refi2012,540xx,WI,22.52,0,Jul-92,0,,,13,0,42721,75.30%,34,f,0,,INDIVIDUAL,0,0.0,204148.0,True
8320,2865441,3467678,8000,8000,292.24,D,D3,"GMG Management Consulting, Inc.",4.0,RENT,44500.0,debt_consolidation,Debt consolidation,200xx,DC,29.2,0,01-Jul,2,57.0,95.0,23,1,6141,93%,31,f,0,58.0,INDIVIDUAL,0,0.0,65568.0,True
41887,1396992,1644189,24000,24000,798.52,B,B3,PRUDENTIAL,3.0,RENT,90000.0,debt_consolidation,DEBT CONSOLIDATION,926xx,CA,29.46,0,03-Mar,0,69.0,,10,0,7502,57.30%,18,f,0,,INDIVIDUAL,0,,,True
4752,3146257,3858511,35000,35000,1235.52,C,C4,Adam Nutrition,5.0,MORTGAGE,110000.0,credit_card,MyLoanCreditCardRefi,907xx,CA,28.41,0,Jun-88,3,48.0,,12,0,38683,91.40%,25,f,0,,INDIVIDUAL,0,0.0,404298.0,True
16766,2090782,2423378,35000,35000,838.36,C,C2,SAIC,5.0,MORTGAGE,130900.0,home_improvement,Lending Club Loan,224xx,VA,12.65,0,Nov-00,2,28.0,,12,0,16964,30%,28,f,0,,INDIVIDUAL,0,0.0,655960.0,True
12194,2286099,2708348,11100,11100,397.24,C,C5,Golds gym,4.0,MORTGAGE,39000.0,debt_consolidation,Debt consolidation,290xx,SC,24.22,1,02-Sep,3,23.0,,15,0,12491,53.60%,35,w,0,23.0,INDIVIDUAL,0,0.0,125638.0,True
20745,1654915,1947070,10000,10000,363.99,D,D2,hampton inn portland airport hotel,10.0,RENT,30000.0,debt_consolidation,Debt consolidation,986xx,WA,31.72,0,Nov-99,0,,,11,0,9798,58.30%,29,f,0,,INDIVIDUAL,0,0.0,22842.0,True
16335,2084766,2416928,25000,25000,855.54,B,B5,Lowell School District,2.0,MORTGAGE,65000.0,debt_consolidation,Easy pay loan,014xx,MA,21.29,0,Nov-96,0,78.0,,10,0,36002,88.70%,28,w,0,,INDIVIDUAL,0,0.0,322857.0,True
36898,1453345,1707093,12000,12000,417.81,C,C2,UPS Freight,5.0,RENT,50000.0,debt_consolidation,Freedom,956xx,CA,30.46,0,06-May,3,,,17,0,8896,47.70%,22,f,0,,INDIVIDUAL,0,,,True
45767,1333922,1579234,3000,3000,103.49,C,C2,Naina Sachdev M.D,2.0,OWN,68256.0,other,Investment Purposes,972xx,OR,1.51,0,09-Apr,2,,,4,0,765,11.80%,4,f,0,,INDIVIDUAL,0,,,True
1083,3239512,3982284,21850,21850,747.74,B,B5,SEPTA,10.0,RENT,50000.0,debt_consolidation,Excel,191xx,PA,30.18,0,Dec-00,0,,,12,0,28264,62.10%,21,f,0,,INDIVIDUAL,0,0.0,36853.0,True
39675,1421958,1672674,16000,16000,432.86,E,E2,los angeles county,10.0,RENT,59000.0,debt_consolidation,consolidation,907xx,CA,24.39,0,Feb-00,1,,,22,0,17663,75.20%,30,f,0,,INDIVIDUAL,0,,,True
1877,3216244,3958566,19425,19425,470.32,C,C3,Henry Ford Health System,10.0,OWN,43500.0,debt_consolidation,debt consolidation,481xx,MI,34.4,0,01-Oct,0,,,10,0,24755,85.40%,16,w,0,,INDIVIDUAL,0,0.0,35528.0,True
45687,1342370,1586939,16750,16750,630.98,E,E3,Gary Lundeen Company PA,10.0,RENT,58000.0,debt_consolidation,Credit Card Consolidation,554xx,MN,23.26,0,02-Jan,0,,,25,0,21829,69.30%,36,f,0,,INDIVIDUAL,0,,,True
34163,1483534,1742089,9000,9000,317.71,C,C4,galanis cataract & laser eye center,4.0,MORTGAGE,45000.0,credit_card,cc consolidation,631xx,MO,18.64,0,Feb-99,1,,,10,0,19565,79.20%,17,f,0,,INDIVIDUAL,0,0.0,136232.0,True
4775,3146115,3858363,35000,35000,1201.84,C,C1,Clairemont insurance,10.0,RENT,235000.0,debt_consolidation,The one and only,921xx,CA,4.24,0,01-Jul,0,,,7,0,8538,70%,12,f,0,,INDIVIDUAL,0,0.0,31019.0,True
9705,2635062,3177254,30000,30000,850.55,F,F2,Wake Forest University Health Sciences,3.0,MORTGAGE,98092.0,debt_consolidation,Debt consolidation,272xx,NC,20.08,1,Mar-94,0,10.0,,12,0,54527,93%,25,f,0,,INDIVIDUAL,0,0.0,227594.0,True
24309,1585611,1854486,6725,6725,213.55,A,A5,Dr William Lane,2.0,OWN,32000.0,debt_consolidation,Debt consolidation,023xx,MA,12.75,0,Jun-90,0,61.0,,15,0,18055,42.20%,22,w,0,61.0,INDIVIDUAL,0,0.0,18055.0,True
31839,1498181,1758635,16000,16000,391.56,C,C4,SCHNUCK MARKETS,10.0,MORTGAGE,48000.0,debt_consolidation,Pay off,633xx,MO,22.33,0,May-88,3,,,6,0,21199,66%,18,f,0,,INDIVIDUAL,0,0.0,207186.0,True
39009,1432741,1684085,35000,35000,966.27,E,E4,Department of Homeland Security,7.0,MORTGAGE,95000.0,debt_consolidation,No more Debt.,799xx,TX,16.12,0,Mar-98,1,78.0,,15,0,9889,56.50%,26,f,0,,INDIVIDUAL,0,,,True
41175,1401542,1650017,19125,19125,493.49,D,D3,BJAAM Environmental,4.0,MORTGAGE,50000.0,debt_consolidation,Debt Consolidation,446xx,OH,25.89,0,06-Jun,0,,,14,0,21013,65.70%,18,f,0,,INDIVIDUAL,0,,,True
12497,2376691,2839009,18125,18125,664.85,D,D4,DS Waters of America,5.0,MORTGAGE,68000.0,debt_consolidation,Will save our home,972xx,OR,17.96,0,04-Dec,2,49.0,,9,0,12141,75.90%,20,f,0,,INDIVIDUAL,0,0.0,202822.0,True
10327,2478019,2970450,8925,8925,301.2,B,B4,Compo Construction Company,10.0,MORTGAGE,48000.0,debt_consolidation, Cleaning house,233xx,VA,28.33,2,Aug-94,0,14.0,,8,0,3566,77.50%,40,f,0,14.0,INDIVIDUAL,0,0.0,202764.0,True
5599,3096322,3768696,12000,12000,393.67,B,B2,Tim's place ,2.0,MORTGAGE,55000.0,credit_card,Credit card refinancing,871xx,NM,18.59,0,06-Mar,0,,,7,0,9812,90%,16,f,0,,INDIVIDUAL,0,0.0,144986.0,True
28859,1548344,1814387,20000,20000,730.6,D,D3,HealthEast Medical Transportation,7.0,MORTGAGE,56000.0,debt_consolidation,Consolidate my Debt,550xx,MN,18.19,0,01-Feb,0,62.0,,13,0,17836,87%,27,f,0,,INDIVIDUAL,0,0.0,259776.0,True
9029,2826393,3408865,10000,10000,357.88,C,C5,Burger King,7.0,OWN,42000.0,credit_card,Credit card refinancing,168xx,PA,24.66,0,01-Apr,1,,88.0,14,1,11370,46.80%,22,f,0,,INDIVIDUAL,0,0.0,29488.0,True
35727,1465519,1721621,35000,35000,1336.31,E,E4,christus spohn health system,3.0,RENT,144000.0,debt_consolidation,Debt consolidation,784xx,TX,12.31,0,09-May,2,,,13,0,35244,59%,22,f,0,,INDIVIDUAL,0,,,True
22814,1622912,1895129,17800,17800,647.9,D,D2,hilton Waikoloa,7.0,RENT,60000.0,debt_consolidation,Debt Consolidation,967xx,HI,19.63,0,Apr-95,0,78.0,,7,0,11378,86.20%,13,f,0,78.0,INDIVIDUAL,0,0.0,24174.0,True
44193,1363940,1608179,16000,16000,546.77,C,C1,Logistic Services Corp,1.0,RENT,52000.0,debt_consolidation,Debt consolidation,760xx,TX,30.58,0,05-May,0,,,17,0,18912,72.20%,32,f,0,,INDIVIDUAL,0,,,True
